efficiency,sustainability,equality,peace
34.75,68.01,890.95,0.77
38.25,66.67,898.8,0.78
32.25,60.59,884.26,0.77
34.25,59.64,896.7,0.74
44.25,80.53,898.73,0.77
48.0,98.93,901.75,0.77
40.25,71.47,898.49,0.74
36.25,70.34,878.46,0.74
29.0,45.71,898.96,0.77
37.5,72.7,899.62,0.77
43.25,85.82,893.74,0.75
37.75,68.18,893.83,0.79
41.75,72.71,884.05,0.77
47.25,82.93,898.04,0.78
39.0,56.19,895.16,0.79
38.25,78.55,887.18,0.75
43.25,83.21,882.18,0.76
26.75,47.92,898.27,0.75
40.5,81.24,886.58,0.76
34.75,65.31,906.53,0.78
46.25,81.88,881.8,0.79
50.25,99.74,897.02,0.78
47.5,81.78,886.43,0.73
37.5,70.41,902.59,0.77
45.25,83.78,901.05,0.77
41.75,78.3,908.34,0.77
51.0,97.17,893.17,0.77
45.75,79.01,900.88,0.79
42.0,75.87,892.82,0.79
42.0,75.9,878.61,0.75
50.0,92.27,903.6,0.76
49.75,92.54,902.44,0.76
52.0,86.32,909.32,0.76
35.0,55.13,890.31,0.77
47.25,81.32,889.22,0.77
43.75,72.94,879.68,0.74
38.0,72.57,881.16,0.79
41.0,77.49,888.94,0.79
37.25,74.29,871.2,0.76
45.25,79.31,892.76,0.79
36.75,65.75,898.21,0.75
36.5,67.23,889.74,0.79
30.75,53.74,874.49,0.76
29.75,47.11,871.78,0.76
33.5,54.67,868.97,0.79
38.5,64.23,880.14,0.79
39.75,76.29,900.4,0.77
45.25,76.55,901.97,0.77
36.5,59.96,892.59,0.75
42.0,74.33,883.07,0.71
42.75,71.1,886.04,0.79
38.25,79.85,900.62,0.77
42.0,94.06,882.57,0.76
44.5,71.48,883.68,0.73
34.0,65.65,883.92,0.77
41.75,73.69,889.38,0.79
44.75,82.7,882.91,0.78
41.75,74.99,882.72,0.75
35.5,67.93,885.16,0.74
43.25,79.61,890.53,0.78
47.5,87.13,886.13,0.76
46.25,83.12,874.89,0.78
45.5,88.59,904.17,0.76
45.0,86.51,887.09,0.74
34.0,57.84,888.41,0.8
37.5,59.56,867.4,0.77
47.75,96.03,893.55,0.77
39.0,78.17,878.61,0.76
46.75,96.22,884.21,0.76
44.5,84.47,880.56,0.78
52.25,98.17,876.91,0.77
49.0,85.78,889.23,0.77
33.75,59.76,880.41,0.75
40.25,72.39,869.16,0.78
38.5,64.11,867.15,0.77
31.75,59.95,877.02,0.76
47.75,83.26,883.66,0.75
45.25,78.73,868.52,0.79
41.75,84.17,876.4,0.77
48.75,90.38,873.02,0.79
44.75,76.26,893.15,0.78
49.0,88.79,900.57,0.79
45.25,80.66,879.57,0.79
46.25,75.86,889.9,0.79
48.75,82.72,882.27,0.77
53.25,93.59,886.46,0.77
38.75,67.72,895.41,0.76
48.0,88.94,901.17,0.79
42.75,71.76,881.81,0.77
48.0,98.47,893.94,0.76
40.5,66.6,894.81,0.77
54.0,98.59,892.49,0.77
53.25,93.58,902.11,0.79
45.75,83.42,886.01,0.77
44.75,72.33,895.95,0.73
45.5,81.33,880.06,0.77
47.25,83.25,879.23,0.74
52.5,97.61,882.64,0.77
46.75,83.9,883.17,0.76
50.5,101.2,882.11,0.75
40.75,70.23,876.18,0.76
49.5,82.44,883.02,0.78
55.0,97.19,903.73,0.76
49.75,95.33,885.69,0.74
42.75,79.45,886.04,0.76
38.25,66.56,884.28,0.76
46.5,88.44,885.55,0.75
38.5,80.93,882.3,0.76
42.25,68.27,879.8,0.78
42.25,87.87,875.2,0.71
